Question Text,Question Type,Option 1,Option 2,Option 3,Option 4,Correct Answer,Time in seconds,Tag
「Đường đơn (monosaccharide)」的中文是什麼?,Multiple Choice,多醣,單醣,果糖,醛醣,2,30,W08-001
「Đường đôi (disaccharide)」的中文是什麼?,Multiple Choice,酮醣,乳糖,蔗糖,雙醣,4,30,W08-002
「Đường đa (polysaccharide)」的中文是什麼?,Multiple Choice,果糖,蔗糖,多醣,雙醣,3,30,W08-003
「Glucose」的中文是什麼?,Multiple Choice,葡萄糖,肝醣,醣蛋白,異構物,1,30,W08-004
「Fructose」的中文是什麼?,Multiple Choice,乳糖,果糖,多醣,酮醣,2,30,W08-005
「Galactose」的中文是什麼?,Multiple Choice,半乳糖,纖維素,醣苷鍵,葡萄糖,1,30,W08-006
「Sucrose」的中文是什麼?,Multiple Choice,澱粉,蔗糖,單醣,醛醣,2,30,W08-007
「Lactose」的中文是什麼?,Multiple Choice,醛醣,肝醣,乳糖,果糖,3,30,W08-008
「Maltose」的中文是什麼?,Multiple Choice,纖維素,麥芽糖,醣蛋白,單醣,2,30,W08-009
「Liên kết glycosidic」的中文是什麼?,Multiple Choice,醣苷鍵,半乳糖,纖維素,還原糖,1,30,W08-010
「Tinh bột」的中文是什麼?,Multiple Choice,醛醣,酮醣,果糖,澱粉,4,30,W08-011
「Glycogen」的中文是什麼?,Multiple Choice,酮醣,乳糖,肝醣,單醣,3,30,W08-012
「Cellulose」的中文是什麼?,Multiple Choice,醣苷鍵,纖維素,半乳糖,麥芽糖,2,30,W08-013
「Aldose」的中文是什麼?,Multiple Choice,醛醣,肝醣,果糖,澱粉,1,30,W08-014
「Ketose」的中文是什麼?,Multiple Choice,單醣,果糖,酮醣,乳糖,3,30,W08-015
「Đồng phân」的中文是什麼?,Multiple Choice,醣苷鍵,醣蛋白,異構物,纖維素,3,30,W08-016
「Glycoprotein」的中文是什麼?,Multiple Choice,澱粉,還原糖,異構物,醣蛋白,4,30,W08-017
「Đường khử」的中文是什麼?,Multiple Choice,葡萄糖,麥芽糖,纖維素,還原糖,4,30,W08-018
(標圖:多醣結構圖) 標號1指的是哪一種多醣?,Multiple Choice,纖維素,澱粉,蔗糖,肝醣,2,30,W08-E01
(標圖:多醣結構圖) 標號3指的是哪一種多醣?,Multiple Choice,纖維素,澱粉,麥芽糖,肝醣,1,30,W08-E02
哪一個配對正確?,Multiple Choice,澱粉—α(1→4)鏈偶爾有α(1→6)分支,蔗糖—由兩個葡萄糖組成,纖維素—動物儲存能量用的多醣,肝醣—人體無法消化的β鍵多醣,1,30,W08-E03
麥芽糖完全水解後可以得到幾個葡萄糖分子?,Multiple Choice,0個,1個,3個,2個,4,30,W08-E04
