Question Text,Question Type,Option 1,Option 2,Option 3,Option 4,Correct Answer,Time in seconds,Tag
「Động học enzyme」的中文是什麼?,Multiple Choice,共價修飾,酵素動力學,不可逆抑制,回饋抑制,2,30,W07-001
「Phương trình Michaelis-Menten」的中文是什麼?,Multiple Choice,米氏方程式,回饋抑制,酵素動力學,競爭性抑制,1,30,W07-002
「Hằng số Michaelis (Km)」的中文是什麼?,Multiple Choice,米氏常數,雙倒數作圖,共價修飾,米氏方程式,1,30,W07-003
「Tốc độ tối đa (Vmax)」的中文是什麼?,Multiple Choice,米氏方程式,最大速率,酵素動力學,轉換數,2,30,W07-004
「Tốc độ ban đầu」的中文是什麼?,Multiple Choice,米氏常數,初速率,抑制劑,轉換數,2,30,W07-005
「Số vòng xúc tác (kcat)」的中文是什麼?,Multiple Choice,初速率,米氏常數,磷酸化,轉換數,4,30,W07-006
「Chất ức chế」的中文是什麼?,Multiple Choice,抑制劑,回饋抑制,磷酸化,初速率,1,30,W07-007
「Ức chế cạnh tranh」的中文是什麼?,Multiple Choice,共價修飾,米氏方程式,競爭性抑制,回饋抑制,3,30,W07-008
「Ức chế không cạnh tranh」的中文是什麼?,Multiple Choice,米氏常數,最大速率,非競爭性抑制,不可逆抑制,3,30,W07-009
「Ức chế không thuận nghịch」的中文是什麼?,Multiple Choice,回饋抑制,雙倒數作圖,競爭性抑制,不可逆抑制,4,30,W07-010
「Đồ thị Lineweaver-Burk」的中文是什麼?,Multiple Choice,共價修飾,雙倒數作圖,酵素動力學,回饋抑制,2,30,W07-011
「Ức chế ngược」的中文是什麼?,Multiple Choice,酵素動力學,轉換數,最大速率,回饋抑制,4,30,W07-012
「Biến đổi cộng hóa trị」的中文是什麼?,Multiple Choice,回饋抑制,最大速率,共價修飾,磷酸化,3,30,W07-013
「Sự phosphoryl hóa」的中文是什麼?,Multiple Choice,轉換數,米氏常數,磷酸化,最大速率,3,30,W07-014
(標圖:抑制作用比較圖) 標號1所在的紅色曲線代表哪一種抑制作用?,Multiple Choice,回饋抑制,競爭性抑制,不可逆抑制,非競爭性抑制,2,30,W07-E01
(標圖:抑制作用比較圖) 標號2所在的紅色曲線代表哪一種抑制作用?,Multiple Choice,非競爭性抑制,競爭性抑制,共價修飾,回饋抑制,1,30,W07-E02
哪一個配對正確?,Multiple Choice,競爭性抑制—抑制劑搶佔活性部位,回饋抑制—第一個酵素抑制最終產物,非競爭性抑制—加大量受質就能解除,磷酸化—永久破壞酵素結構,1,30,W07-E03
已知某酵素Vmax為80 μmol/min。當[S]=Km時v0大約是多少?,Multiple Choice,160 μmol/min,80 μmol/min,20 μmol/min,40 μmol/min,4,30,W07-E04
