Question Text,Question Type,Option 1,Option 2,Option 3,Option 4,Correct Answer,Time in seconds,Tag
「Nước」的中文是什麼?,Multiple Choice,極性,解離,水,鹼,3,30,W02-001
「Liên kết hydrogen」的中文是什麼?,Multiple Choice,氫鍵,熵,平衡,溶劑,1,30,W02-002
「Liên kết cộng hóa trị」的中文是什麼?,Multiple Choice,溶質,共價鍵,平衡,離子鍵,2,30,W02-003
「Phân cực」的中文是什麼?,Multiple Choice,熵,解離,濃度,極性,4,30,W02-004
「Không phân cực」的中文是什麼?,Multiple Choice,共價鍵,氫鍵,非極性,平衡,3,30,W02-005
「Ưa nước」的中文是什麼?,Multiple Choice,離子鍵,滴定曲線,非極性,親水性,4,30,W02-006
「Kỵ nước」的中文是什麼?,Multiple Choice,極性,滴定曲線,疏水性,親水性,3,30,W02-007
「Chất tan」的中文是什麼?,Multiple Choice,平衡,溶質,酸,溶劑,2,30,W02-008
「Dung môi」的中文是什麼?,Multiple Choice,極性,解離,溶劑,平衡,3,30,W02-009
「Nồng độ」的中文是什麼?,Multiple Choice,濃度,氫鍵,熵,共價鍵,1,30,W02-010
「Acid」的中文是什麼?,Multiple Choice,解離,熵,酸,氫鍵,3,30,W02-011
「Base」的中文是什麼?,Multiple Choice,鹼,濃度,極性,溶劑,1,30,W02-012
「Sự phân li」的中文是什麼?,Multiple Choice,熵,平衡,溶劑,解離,4,30,W02-013
「Cân bằng」的中文是什麼?,Multiple Choice,溶質,解離,溶劑,平衡,4,30,W02-014
「Hằng số cân bằng」的中文是什麼?,Multiple Choice,解離,平衡常數,滴定曲線,離子鍵,2,30,W02-015
「Dung dịch đệm」的中文是什麼?,Multiple Choice,共價鍵,疏水性,緩衝溶液,平衡常數,3,30,W02-016
「Đường cong chuẩn độ」的中文是什麼?,Multiple Choice,共價鍵,滴定曲線,親水性,凡德瓦力,2,30,W02-017
「Lực van der Waals」的中文是什麼?,Multiple Choice,離子鍵,非極性,氫鍵,凡德瓦力,4,30,W02-018
「Liên kết ion」的中文是什麼?,Multiple Choice,解離,濃度,疏水性,離子鍵,4,30,W02-019
「Entropy」的中文是什麼?,Multiple Choice,熵,平衡,濃度,水,1,30,W02-020
(標圖:水分子氫鍵) 虛線標號1代表什麼?,Multiple Choice,氫鍵,離子鍵,共價鍵,凡德瓦力,1,30,W02-E01
(標圖:pH 滴定曲線) 圖中央那段平緩、pH 變化很小的曲線稱為什麼?,Multiple Choice,當量點,緩衝區,終點,起始點,2,30,W02-E02
哪一個配對正確?,Multiple Choice,鹼—釋出H⁺,疏水性—不溶於水,酸—釋出OH⁻,親水性—不溶於水,2,30,W02-E03
"[H+]=10⁻³ M,pH=多少?",Multiple Choice,3,10,4,11,1,30,W02-E04
