Question Text,Question Type,Option 1,Option 2,Option 3,Option 4,Correct Answer,Time in seconds,Tag
「Phosphoryl hóa oxy hóa」的中文是什麼?,Multiple Choice,質子動力,電子傳遞鏈,氧化磷酸化,鐵硫中心,3,30,W15-001
「Chuỗi vận chuyển điện tử」的中文是什麼?,Multiple Choice,細胞色素c,鐵硫中心,ATP合成酶,電子傳遞鏈,4,30,W15-002
「Chuỗi hô hấp」的中文是什麼?,Multiple Choice,複合體,呼吸鏈,基質,解偶聯劑,2,30,W15-003
「Phức hợp」的中文是什麼?,Multiple Choice,膜間隙,呼吸鏈,複合體,鐵硫中心,3,30,W15-004
「Ubiquinone (Q)」的中文是什麼?,Multiple Choice,泛醌,基質,呼吸鏈,質子動力,1,30,W15-005
「Cytochrome c」的中文是什麼?,Multiple Choice,氧化磷酸化,化學滲透,細胞色素c,電子傳遞鏈,3,30,W15-006
「Trung tâm sắt-lưu huỳnh」的中文是什麼?,Multiple Choice,質子動力,化學滲透,解偶聯劑,鐵硫中心,4,30,W15-007
「Màng trong」的中文是什麼?,Multiple Choice,膜間隙,氰化物,內膜,呼吸鏈,3,30,W15-008
「Khoang gian màng」的中文是什麼?,Multiple Choice,氰化物,複合體,內膜,膜間隙,4,30,W15-009
「Chất nền (matrix)」的中文是什麼?,Multiple Choice,膜間隙,基質,質子動力,泛醌,2,30,W15-010
「Gradient proton」的中文是什麼?,Multiple Choice,呼吸鏈,質子梯度,鐵硫中心,複合體,2,30,W15-011
「Lực đẩy proton」的中文是什麼?,Multiple Choice,解偶聯劑,化學滲透,細胞色素c,質子動力,4,30,W15-012
「Thẩm thấu hóa học」的中文是什麼?,Multiple Choice,化學滲透,氰化物,膜間隙,鐵硫中心,1,30,W15-013
「ATP synthase」的中文是什麼?,Multiple Choice,ATP合成酶,化學滲透,解偶聯劑,氧化磷酸化,1,30,W15-014
「Chất tách cặp」的中文是什麼?,Multiple Choice,氧化磷酸化,細胞色素c,解偶聯劑,質子動力,3,30,W15-015
「Cyanide」的中文是什麼?,Multiple Choice,膜間隙,呼吸鏈,質子動力,氰化物,4,30,W15-016
「Chất nhận điện tử cuối cùng」的中文是什麼?,Multiple Choice,最終電子接受者,化學滲透,質子梯度,解偶聯劑,1,30,W15-017
(標圖:w15_etc_labeled) 標號5是什麼?,Multiple Choice,ATP合成酶,細胞色素c,複合體III,複合體I,1,30,W15-E01
(標圖:w15_chemiosmosis_labeled) 標號1代表的是什麼?,Multiple Choice,化學滲透,質子梯度,呼吸鏈,電子傳遞鏈,2,30,W15-E02
哪一個配對正確?,Multiple Choice,複合體I—直接生成ATP,複合體IV—將電子交給氧生成水,複合體III—是最終電子接受者,ATP合成酶—用電子傳遞產生FADH2,2,30,W15-E03
一分子葡萄糖完整氧化(醣解+TCA+氧化磷酸化)約可產生多少ATP?,Multiple Choice,30-32個ATP,2個ATP,36-38個ATP,8個ATP,1,30,W15-E04
