Question Text,Question Type,Option 1,Option 2,Option 3,Option 4,Correct Answer,Time in seconds,Tag
「Năng lượng sinh học」的中文是什麼?,Multiple Choice,吸能反應,氧化還原反應,生物能量學,自由能變化,3,30,W12-001
「Năng lượng tự do」的中文是什麼?,Multiple Choice,自由能,還原,水解,電子載體,1,30,W12-002
「Biến thiên năng lượng tự do」的中文是什麼?,Multiple Choice,三磷酸腺苷,還原電位,自由能變化,生物能量學,3,30,W12-003
「Năng lượng tự do chuẩn」的中文是什麼?,Multiple Choice,三磷酸腺苷,異化作用,標準自由能,放能反應,3,30,W12-004
「Phản ứng tỏa năng」的中文是什麼?,Multiple Choice,放能反應,異化作用,還原電位,電子載體,1,30,W12-005
「Phản ứng thu năng」的中文是什麼?,Multiple Choice,異化作用,電子載體,自由能變化,吸能反應,4,30,W12-006
「Phản ứng tự phát」的中文是什麼?,Multiple Choice,能量耦合,還原電位,高能磷酸鍵,自發反應,4,30,W12-007
「Sự ghép cặp năng lượng」的中文是什麼?,Multiple Choice,同化作用,自發反應,能量耦合,生物能量學,3,30,W12-008
「ATP」的中文是什麼?,Multiple Choice,氧化還原反應,標準自由能,還原電位,三磷酸腺苷,4,30,W12-009
「Liên kết phosphate cao năng」的中文是什麼?,Multiple Choice,氧化還原反應,高能磷酸鍵,生物能量學,三磷酸腺苷,2,30,W12-010
「Sự thủy phân」的中文是什麼?,Multiple Choice,電子載體,水解,還原,異化作用,2,30,W12-011
「Sự oxy hóa」的中文是什麼?,Multiple Choice,吸能反應,放能反應,自發反應,氧化,4,30,W12-012
「Sự khử」的中文是什麼?,Multiple Choice,還原,自由能,放能反應,異化作用,1,30,W12-013
「Phản ứng oxy hóa khử」的中文是什麼?,Multiple Choice,標準自由能,氧化還原反應,高能磷酸鍵,自發反應,2,30,W12-014
「Chất mang điện tử」的中文是什麼?,Multiple Choice,自由能變化,還原電位,電子載體,同化作用,3,30,W12-015
「Thế khử」的中文是什麼?,Multiple Choice,異化作用,還原電位,放能反應,自發反應,2,30,W12-016
「Dị hóa」的中文是什麼?,Multiple Choice,吸能反應,電子載體,能量耦合,異化作用,4,30,W12-017
「Đồng hóa」的中文是什麼?,Multiple Choice,同化作用,吸能反應,自由能變化,電子載體,1,30,W12-018
(標圖:自由能變化) 標號1是什麼?,Multiple Choice,放能反應,自發反應,吸能反應,標準自由能,1,30,W12-E01
(標圖:自由能變化) 標號2是什麼?,Multiple Choice,能量耦合,吸能反應,放能反應,氧化還原反應,2,30,W12-E02
哪一個配對正確?,Multiple Choice,自發反應—ΔG>0,自發反應—ΔG<0,吸能反應—ΔG<0,放能反應—ΔG>0,2,30,W12-E03
吸能反應+20 kJ/mol與ATP水解−30.5 kJ/mol偶聯，淨ΔG°′為多少?,Multiple Choice,−10.5 kJ/mol,+10.5 kJ/mol,+50.5 kJ/mol,−50.5 kJ/mol,1,30,W12-E04
