Question Text,Question Type,Option 1,Option 2,Option 3,Option 4,Correct Answer,Time in seconds,Tag
「Chu trình acid citric」的中文是什麼?,Multiple Choice,去羧作用,回補反應,檸檬酸循環,乙醯輔酶A,3,30,W14-001
「Chu trình Krebs」的中文是什麼?,Multiple Choice,草醯乙酸,去羧作用,克氏循環,異檸檬酸,3,30,W14-002
「Acetyl-CoA」的中文是什麼?,Multiple Choice,乙醯輔酶A,延胡索酸,回補反應,α-酮戊二酸,1,30,W14-003
「Phức hợp pyruvate dehydrogenase」的中文是什麼?,Multiple Choice,乙醯輔酶A,草醯乙酸,丙酮酸去氫酶複合體,黃素腺嘌呤二核苷酸,3,30,W14-004
「Sự khử carboxyl」的中文是什麼?,Multiple Choice,去羧作用,克氏循環,回補反應,草醯乙酸,1,30,W14-005
「Citrate」的中文是什麼?,Multiple Choice,回補反應,檸檬酸,蘋果酸,琥珀酸,2,30,W14-006
「Isocitrate」的中文是什麼?,Multiple Choice,克氏循環,回補反應,兩性途徑,異檸檬酸,4,30,W14-007
「α-Ketoglutarate」的中文是什麼?,Multiple Choice,乙醯輔酶A,草醯乙酸,α-酮戊二酸,三磷酸鳥苷,3,30,W14-008
「Succinate」的中文是什麼?,Multiple Choice,延胡索酸,蘋果酸,檸檬酸,琥珀酸,4,30,W14-009
「Fumarate」的中文是什麼?,Multiple Choice,異檸檬酸,延胡索酸,回補反應,克氏循環,2,30,W14-010
「Malate」的中文是什麼?,Multiple Choice,回補反應,蘋果酸,克氏循環,琥珀酸,2,30,W14-011
「Oxaloacetate」的中文是什麼?,Multiple Choice,回補反應,延胡索酸,克氏循環,草醯乙酸,4,30,W14-012
「FADH2」的中文是什麼?,Multiple Choice,黃素腺嘌呤二核苷酸,三磷酸鳥苷,乙醯輔酶A,延胡索酸,1,30,W14-013
「GTP」的中文是什麼?,Multiple Choice,乙醯輔酶A,克氏循環,異檸檬酸,三磷酸鳥苷,4,30,W14-014
「Phản ứng bổ sung」的中文是什麼?,Multiple Choice,延胡索酸,兩性途徑,回補反應,蘋果酸,3,30,W14-015
「Con đường lưỡng tính」的中文是什麼?,Multiple Choice,延胡索酸,異檸檬酸,克氏循環,兩性途徑,4,30,W14-016
(標圖:w14_tca_labeled) 標號1這一步驟的產物是什麼?,Multiple Choice,檸檬酸,琥珀醯輔酶A,異檸檬酸,蘋果酸,1,30,W14-E01
(標圖:w14_tca_labeled) 標號2箭頭代表哪一種產物?,Multiple Choice,二氧化碳,菸鹼醯胺腺嘌呤二核苷酸,黃素腺嘌呤二核苷酸,三磷酸鳥苷,2,30,W14-E02
哪一個配對正確?,Multiple Choice,草醯乙酸—去氫產生GTP,琥珀酸—去氫產生FADH2,α-酮戊二酸—與乙醯輔酶A縮合成檸檬酸,檸檬酸—去羧產生二氧化碳,2,30,W14-E03
檸檬酸循環每轉一圈(每1個乙醯輔酶A)共產生幾個NADH?,Multiple Choice,3個NADH,2個NADH,4個NADH,1個NADH,1,30,W14-E04
