term_id,week,zh_term,vi_term,en_term,question,opt1,opt2,opt3,opt4,correct,type
W16-001,16,β-氧化,β-Oxy hóa,Beta oxidation,「β-Oxy hóa」的中文是什麼?,尿素循環,肉鹼穿梭,β-氧化,脂解作用,3,越→中
W16-002,16,脂解作用,Sự phân giải lipid,Lipolysis,「Sự phân giải lipid」的中文是什麼?,轉胺作用,去胺作用,肉鹼穿梭,脂解作用,4,越→中
W16-003,16,肉鹼穿梭,Thoi carnitine,Carnitine shuttle,「Thoi carnitine」的中文是什麼?,去胺作用,肉鹼穿梭,麩胺酸,脂解作用,2,越→中
W16-004,16,醯基輔酶A,Acyl-CoA,Acyl-CoA,「Acyl-CoA」的中文是什麼?,脂解作用,β-氧化,醯基輔酶A,生糖胺基酸,3,越→中
W16-005,16,酮體,Thể ceton,Ketone body,「Thể ceton」的中文是什麼?,酮體,尿素,銨離子,氨,1,越→中
W16-006,16,生酮作用,Sự tạo ceton,Ketogenesis,「Sự tạo ceton」的中文是什麼?,轉胺作用,去胺作用,生酮作用,尿素循環,3,越→中
W16-007,16,轉胺作用,Sự chuyển amin,Transamination,「Sự chuyển amin」的中文是什麼?,肉鹼穿梭,尿素循環,去胺作用,轉胺作用,4,越→中
W16-008,16,轉胺酶,Transaminase,Transaminase,「Transaminase」的中文是什麼?,酮體,麩胺酸,轉胺酶,脂解作用,3,越→中
W16-009,16,去胺作用,Sự khử amin,Deamination,「Sự khử amin」的中文是什麼?,生糖胺基酸,β-氧化,肉鹼穿梭,去胺作用,4,越→中
W16-010,16,氨,Ammonia (NH3),Ammonia,「Ammonia (NH3)」的中文是什麼?,轉胺作用,氨,麩醯胺,尿素,2,越→中
W16-011,16,銨離子,Ion ammonium,Ammonium ion,「Ion ammonium」的中文是什麼?,酮體,銨離子,轉胺作用,去胺作用,2,越→中
W16-012,16,尿素,Urea,Urea,「Urea」的中文是什麼?,酮體,麩胺酸,銨離子,尿素,4,越→中
W16-013,16,尿素循環,Chu trình ure,Urea cycle,「Chu trình ure」的中文是什麼?,尿素循環,脂解作用,生酮作用,去胺作用,1,越→中
W16-014,16,麩胺酸,Glutamate,Glutamate,「Glutamate」的中文是什麼?,麩胺酸,生酮作用,麩醯胺,酮體,1,越→中
W16-015,16,麩醯胺,Glutamine,Glutamine,「Glutamine」的中文是什麼?,β-氧化,銨離子,麩醯胺,轉胺酶,3,越→中
W16-016,16,生酮胺基酸,Amino acid sinh ceton,Ketogenic amino acid,「Amino acid sinh ceton」的中文是什麼?,去胺作用,生酮作用,醯基輔酶A,生酮胺基酸,4,越→中
W16-017,16,生糖胺基酸,Amino acid sinh đường,Glucogenic amino acid,「Amino acid sinh đường」的中文是什麼?,生糖胺基酸,β-氧化,生酮胺基酸,尿素循環,1,越→中
W16-E01,16,黃素腺嘌呤二核苷酸,FADH2,FADH2,(標圖:w16_beta_ox_labeled) 標號1這一步驟的產物是什麼?,黃素腺嘌呤二核苷酸,輔酶A,菸鹼醯胺腺嘌呤二核苷酸,乙醯輔酶A,1,標圖
W16-E02,16,尿素,Urea,Urea,(標圖:w16_urea_labeled) 標號4這一步驟的最終產物是什麼?,鳥胺酸,尿素,精胺酸,瓜胺酸,2,標圖
W16-E03,16,麩胺酸—去胺作用釋放氨,,,哪一個配對正確?,尿素循環—完全發生於細胞質基質,麩胺酸—去胺作用釋放氨,生糖胺基酸—進入生酮路徑,肉鹼穿梭—用於脂肪酸合成反應,2,配對
W16-E04,16,7輪，產生8個乙醯輔酶A,,,一分子C16棕櫚酸經β-氧化，共需幾輪、產生幾個乙醯輔酶A?,7輪，產生8個乙醯輔酶A,6輪，產生7個乙醯輔酶A,7輪，產生7個乙醯輔酶A,8輪，產生8個乙醯輔酶A,1,計算
