Question Text,Question Type,Option 1,Option 2,Option 3,Option 4,Correct Answer,Time in seconds,Tag
「Amino acid」的中文是什麼?,Multiple Choice,胜肽鍵,雙硫鍵,胺基酸,多肽,3,30,W03-001
「Mạch bên」的中文是什麼?,Multiple Choice,N端,層析,多肽,側鏈,4,30,W03-002
「Nhóm amino」的中文是什麼?,Multiple Choice,胜肽,胺基,電泳,多肽,2,30,W03-003
「Nhóm carboxyl」的中文是什麼?,Multiple Choice,C端,胺基,羧基,手性,3,30,W03-004
「Tính bất đối xứng」的中文是什麼?,Multiple Choice,手性,胺基,多肽,層析,1,30,W03-005
「Peptide」的中文是什麼?,Multiple Choice,多肽,羧基,胜肽,層析,3,30,W03-006
「Liên kết peptide」的中文是什麼?,Multiple Choice,兩性離子,芳香族,C端,胜肽鍵,4,30,W03-007
「Polypeptide」的中文是什麼?,Multiple Choice,N端,羧基,多肽,C端,3,30,W03-008
「Đầu N」的中文是什麼?,Multiple Choice,C端,胜肽,手性,N端,4,30,W03-009
「Đầu C」的中文是什麼?,Multiple Choice,電泳,C端,羧基,N端,2,30,W03-010
「Ion lưỡng cực」的中文是什麼?,Multiple Choice,芳香族,兩性離子,胺基,雙硫鍵,2,30,W03-011
「Điểm đẳng điện」的中文是什麼?,Multiple Choice,胜肽鍵,胺基酸,胺基,等電點,4,30,W03-012
「Amino acid thiết yếu」的中文是什麼?,Multiple Choice,必需胺基酸,多肽,雙硫鍵,等電點,1,30,W03-013
「Nhóm thơm」的中文是什麼?,Multiple Choice,芳香族,胜肽,手性,胺基酸,1,30,W03-014
「Liên kết disulfide」的中文是什麼?,Multiple Choice,兩性離子,電泳,雙硫鍵,羧基,3,30,W03-015
「Sắc ký」的中文是什麼?,Multiple Choice,電泳,手性,多肽,層析,4,30,W03-016
「Điện di」的中文是什麼?,Multiple Choice,電泳,N端,層析,羧基,1,30,W03-017
(標圖:胜肽鍵形成) 標號3(黃色框)是什麼鍵?,Multiple Choice,胜肽鍵,雙硫鍵,氫鍵,離子鍵,1,30,W03-E01
(標圖:胺基酸通用結構) 標號2指的是什麼?,Multiple Choice,側鏈,胺基,羧基,α碳,2,30,W03-E02
哪一個配對正確?,Multiple Choice,胜肽鍵—連接兩個醣類,N端—胺基那一端,C端—胺基那一端,側鏈—讓所有胺基酸都一樣,2,30,W03-E03
決定不同胺基酸性質差異的部分是什麼?,Multiple Choice,側鏈,羧基,胺基,α碳,1,30,W03-E04
