term_id,week,zh_term,vi_term,en_term,question,opt1,opt2,opt3,opt4,correct,type
W12-001,12,生物能量學,Năng lượng sinh học,Bioenergetics,「Năng lượng sinh học」的中文是什麼?,吸能反應,氧化還原反應,生物能量學,自由能變化,3,越→中
W12-002,12,自由能,Năng lượng tự do,Free energy (G),「Năng lượng tự do」的中文是什麼?,自由能,還原,水解,電子載體,1,越→中
W12-003,12,自由能變化,Biến thiên năng lượng tự do,ΔG,「Biến thiên năng lượng tự do」的中文是什麼?,三磷酸腺苷,還原電位,自由能變化,生物能量學,3,越→中
W12-004,12,標準自由能,Năng lượng tự do chuẩn,ΔG°′,「Năng lượng tự do chuẩn」的中文是什麼?,三磷酸腺苷,異化作用,標準自由能,放能反應,3,越→中
W12-005,12,放能反應,Phản ứng tỏa năng,Exergonic reaction,「Phản ứng tỏa năng」的中文是什麼?,放能反應,異化作用,還原電位,電子載體,1,越→中
W12-006,12,吸能反應,Phản ứng thu năng,Endergonic reaction,「Phản ứng thu năng」的中文是什麼?,異化作用,電子載體,自由能變化,吸能反應,4,越→中
W12-007,12,自發反應,Phản ứng tự phát,Spontaneous reaction,「Phản ứng tự phát」的中文是什麼?,能量耦合,還原電位,高能磷酸鍵,自發反應,4,越→中
W12-008,12,能量耦合,Sự ghép cặp năng lượng,Energy coupling,「Sự ghép cặp năng lượng」的中文是什麼?,同化作用,自發反應,能量耦合,生物能量學,3,越→中
W12-009,12,三磷酸腺苷,ATP,ATP,「ATP」的中文是什麼?,氧化還原反應,標準自由能,還原電位,三磷酸腺苷,4,越→中
W12-010,12,高能磷酸鍵,Liên kết phosphate cao năng,High-energy phosphate bond,「Liên kết phosphate cao năng」的中文是什麼?,氧化還原反應,高能磷酸鍵,生物能量學,三磷酸腺苷,2,越→中
W12-011,12,水解,Sự thủy phân,Hydrolysis,「Sự thủy phân」的中文是什麼?,電子載體,水解,還原,異化作用,2,越→中
W12-012,12,氧化,Sự oxy hóa,Oxidation,「Sự oxy hóa」的中文是什麼?,吸能反應,放能反應,自發反應,氧化,4,越→中
W12-013,12,還原,Sự khử,Reduction,「Sự khử」的中文是什麼?,還原,自由能,放能反應,異化作用,1,越→中
W12-014,12,氧化還原反應,Phản ứng oxy hóa khử,Redox reaction,「Phản ứng oxy hóa khử」的中文是什麼?,標準自由能,氧化還原反應,高能磷酸鍵,自發反應,2,越→中
W12-015,12,電子載體,Chất mang điện tử,Electron carrier,「Chất mang điện tử」的中文是什麼?,自由能變化,還原電位,電子載體,同化作用,3,越→中
W12-016,12,還原電位,Thế khử,Reduction potential,「Thế khử」的中文是什麼?,異化作用,還原電位,放能反應,自發反應,2,越→中
W12-017,12,異化作用,Dị hóa,Catabolism,「Dị hóa」的中文是什麼?,吸能反應,電子載體,能量耦合,異化作用,4,越→中
W12-018,12,同化作用,Đồng hóa,Anabolism,「Đồng hóa」的中文是什麼?,同化作用,吸能反應,自由能變化,電子載體,1,越→中
W12-E01,12,放能反應,Phản ứng tỏa năng,Exergonic reaction,(標圖:自由能變化) 標號1是什麼?,放能反應,自發反應,吸能反應,標準自由能,1,標圖
W12-E02,12,吸能反應,Phản ứng thu năng,Endergonic reaction,(標圖:自由能變化) 標號2是什麼?,能量耦合,吸能反應,放能反應,氧化還原反應,2,標圖
W12-E03,12,自發反應—ΔG<0,,,哪一個配對正確?,自發反應—ΔG>0,自發反應—ΔG<0,吸能反應—ΔG<0,放能反應—ΔG>0,2,配對
W12-E04,12,−10.5 kJ/mol,,,吸能反應+20 kJ/mol與ATP水解−30.5 kJ/mol偶聯，淨ΔG°′為多少?,−10.5 kJ/mol,+10.5 kJ/mol,+50.5 kJ/mol,−50.5 kJ/mol,1,計算
