Question Text,Question Type,Option 1,Option 2,Option 3,Option 4,Correct Answer,Time in seconds,Tag
「Đường phân」的中文是什麼?,Multiple Choice,投資期,糖解作用,收穫期,肝醣分解,2,30,W13-001
「Hexokinase」的中文是什麼?,Multiple Choice,丙酮酸,丙酮酸激酶,醣質新生,己糖激酶,4,30,W13-002
「Phosphofructokinase-1 (PFK-1)」的中文是什麼?,Multiple Choice,肝醣分解,醣質新生,磷酸果糖激酶,己糖激酶,3,30,W13-003
「Pyruvate kinase」的中文是什麼?,Multiple Choice,己糖激酶,肝醣分解,丙酮酸激酶,磷酸果糖激酶,3,30,W13-004
「Pyruvate」的中文是什麼?,Multiple Choice,丙酮酸,肝醣分解,醣質新生,糖解作用,1,30,W13-005
「Giai đoạn đầu tư」的中文是什麼?,Multiple Choice,投資期,醣質新生,發酵,收穫期,1,30,W13-006
「Giai đoạn thu hồi」的中文是什麼?,Multiple Choice,丙酮酸,乙醇,收穫期,醣質新生,3,30,W13-007
「Phosphoryl hóa mức cơ chất」的中文是什麼?,Multiple Choice,糖解作用,己糖激酶,受質層次磷酸化,磷酸果糖激酶,3,30,W13-008
「Sự lên men」的中文是什麼?,Multiple Choice,醣質新生,己糖激酶,乙醇,發酵,4,30,W13-009
「Lactate」的中文是什麼?,Multiple Choice,乙醇,乳酸,投資期,收穫期,2,30,W13-010
「Ethanol」的中文是什麼?,Multiple Choice,收穫期,乙醇,乳酸,肝醣分解,2,30,W13-011
「Tân tạo glucose」的中文是什麼?,Multiple Choice,醣質新生,肝醣分解,糖解作用,丙酮酸,1,30,W13-012
「Sự phân giải glycogen」的中文是什麼?,Multiple Choice,糖解作用,收穫期,肝醣分解,丙酮酸激酶,3,30,W13-013
「Con đường pentose phosphate」的中文是什麼?,Multiple Choice,肝醣分解,受質層次磷酸化,醣質新生,戊糖磷酸途徑,4,30,W13-014
「NADH」的中文是什麼?,Multiple Choice,戊糖磷酸途徑,醣質新生,己糖激酶,菸鹼醯胺腺嘌呤二核苷酸,4,30,W13-015
(標圖:糖解作用) 標號1是什麼?,Multiple Choice,投資期,醣質新生,收穫期,發酵,1,30,W13-E01
(標圖:糖解作用) 標號2是什麼?,Multiple Choice,肝醣分解,收穫期,投資期,戊糖磷酸途徑,2,30,W13-E02
哪一個配對正確?,Multiple Choice,丙酮酸激酶—糖解第一步,己糖激酶—磷酸化葡萄糖,乳酸去氫酶—醣質新生酶,磷酸果糖激酶—收穫期關鍵酶,2,30,W13-E03
1分子葡萄糖經糖解作用，淨產生多少ATP與NADH?,Multiple Choice,2 ATP、2 NADH,2 ATP、4 NADH,4 ATP、2 NADH,4 ATP、4 NADH,1,30,W13-E04
