Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2,Incorrect Answer 3
「Cấu trúc bậc một」的中文是什麼?,一級結構,球狀蛋白,伴護蛋白,膠原蛋白
「Cấu trúc bậc hai」的中文是什麼?,二級結構,三級結構,伴護蛋白,四級結構
「Cấu trúc bậc ba」的中文是什麼?,三級結構,一級結構,膠原蛋白,伴護蛋白
「Cấu trúc bậc bốn」的中文是什麼?,四級結構,膠原蛋白,伴護蛋白,α螺旋
「Xoắn alpha (xoắn α)」的中文是什麼?,α螺旋,β摺板,角蛋白,四級結構
「Gấp nếp beta (phiến gấp nếp β)」的中文是什麼?,β摺板,伴護蛋白,轉角,球狀蛋白
「Đoạn quay」的中文是什麼?,轉角,β摺板,摺疊,二級結構
「Sự cuộn gập」的中文是什麼?,摺疊,β摺板,轉角,球狀蛋白
「Sự biến tính」的中文是什麼?,變性,β摺板,結構域,次單元
「Tiểu đơn vị」的中文是什麼?,次單元,摺疊,球狀蛋白,角蛋白
「Vùng cấu trúc (domain)」的中文是什麼?,結構域,二級結構,α螺旋,次單元
「Protein đồng hành (chaperone)」的中文是什麼?,伴護蛋白,二級結構,纖維狀蛋白,β摺板
「Protein dạng sợi」的中文是什麼?,纖維狀蛋白,一級結構,膠原蛋白,球狀蛋白
「Protein dạng cầu」的中文是什麼?,球狀蛋白,膠原蛋白,β摺板,三級結構
「Collagen」的中文是什麼?,膠原蛋白,二級結構,一級結構,結構域
「Keratin」的中文是什麼?,角蛋白,一級結構,次單元,膠原蛋白
「Nhiễu xạ tia X」的中文是什麼?,X光晶體繞射,二級結構,球狀蛋白,纖維狀蛋白
