Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2,Incorrect Answer 3
「Acid béo」的中文是什麼?,脂肪酸,膽固醇,細胞膜,磷脂
「Acid béo no」的中文是什麼?,飽和脂肪酸,流體鑲嵌模型,轉運蛋白,兩親性
「Acid béo không no」的中文是什麼?,不飽和脂肪酸,流體鑲嵌模型,轉運蛋白,被動運輸
「Triacylglycerol」的中文是什麼?,三酸甘油酯,流體鑲嵌模型,飽和脂肪酸,被動運輸
「Glycerol」的中文是什麼?,甘油,固醇,滲透,細胞膜
「Phospholipid」的中文是什麼?,磷脂,甘油,擴散,脂雙層
「Steroid」的中文是什麼?,固醇,磷脂,脂肪酸,甘油
「Cholesterol」的中文是什麼?,膽固醇,擴散,被動運輸,滲透
「Lớp lipid kép」的中文是什麼?,脂雙層,擴散,細胞膜,滲透
「Lưỡng cực (amphipathic)」的中文是什麼?,兩親性,擴散,脂肪酸,細胞膜
「Màng tế bào」的中文是什麼?,細胞膜,滲透,主動運輸,磷脂
「Mô hình khảm lỏng」的中文是什麼?,流體鑲嵌模型,兩親性,轉運蛋白,主動運輸
「Sự khuếch tán」的中文是什麼?,擴散,磷脂,酯鍵,兩親性
「Sự thẩm thấu」的中文是什麼?,滲透,酯鍵,細胞膜,脂雙層
「Vận chuyển thụ động」的中文是什麼?,被動運輸,飽和脂肪酸,鈉鉀幫浦,轉運蛋白
「Vận chuyển chủ động」的中文是什麼?,主動運輸,轉運蛋白,鈉鉀幫浦,被動運輸
「Protein vận chuyển」的中文是什麼?,轉運蛋白,膽固醇,被動運輸,主動運輸
「Kênh ion」的中文是什麼?,離子通道,飽和脂肪酸,細胞膜,被動運輸
「Bơm Na+/K+」的中文是什麼?,鈉鉀幫浦,兩親性,主動運輸,膽固醇
「Liên kết ester」的中文是什麼?,酯鍵,擴散,磷脂,甘油
