Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2,Incorrect Answer 3
「Nucleotide」的中文是什麼?,核苷酸,腺嘌呤,雙螺旋,鳥嘌呤
「Nucleoside」的中文是什麼?,核苷,嘧啶,核糖,基因
「Base nitrogen」的中文是什麼?,含氮鹼基,尿嘧啶,胸腺嘧啶,核糖核酸
「Purine」的中文是什麼?,嘌呤,核糖,核苷,核苷酸
「Pyrimidine」的中文是什麼?,嘧啶,互補,基因,核苷
「Adenine (A)」的中文是什麼?,腺嘌呤,反平行,核苷酸,胞嘧啶
「Guanine (G)」的中文是什麼?,鳥嘌呤,核苷酸,互補,腺嘌呤
「Cytosine (C)」的中文是什麼?,胞嘧啶,基因,反平行,雙螺旋
「Thymine (T)」的中文是什麼?,胸腺嘧啶,核苷酸,含氮鹼基,胞嘧啶
「Uracil (U)」的中文是什麼?,尿嘧啶,胸腺嘧啶,雙螺旋,胞嘧啶
「Deoxyribose」的中文是什麼?,去氧核糖,雙螺旋,含氮鹼基,核糖核酸
「Ribose」的中文是什麼?,核糖,尿嘧啶,嘧啶,嘌呤
「Liên kết phosphodiester」的中文是什麼?,磷酸雙酯鍵,鳥嘌呤,去氧核糖,雙螺旋
「Chuỗi xoắn kép」的中文是什麼?,雙螺旋,尿嘧啶,胞嘧啶,核苷酸
「Sự bắt cặp base」的中文是什麼?,鹼基配對,胸腺嘧啶,胞嘧啶,去氧核糖
「Bổ sung」的中文是什麼?,互補,核糖,嘧啶,尿嘧啶
「Đối song song」的中文是什麼?,反平行,含氮鹼基,鳥嘌呤,雙螺旋
「DNA」的中文是什麼?,去氧核糖核酸,鹼基配對,磷酸雙酯鍵,核苷酸
「RNA」的中文是什麼?,核糖核酸,鹼基配對,胸腺嘧啶,反平行
「Gene」的中文是什麼?,基因,核苷,核糖,嘌呤
