Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2,Incorrect Answer 3
「Năng lượng sinh học」的中文是什麼?,生物能量學,自由能變化,吸能反應,氧化還原反應
「Năng lượng tự do」的中文是什麼?,自由能,水解,電子載體,還原
「Biến thiên năng lượng tự do」的中文是什麼?,自由能變化,三磷酸腺苷,生物能量學,還原電位
「Năng lượng tự do chuẩn」的中文是什麼?,標準自由能,三磷酸腺苷,放能反應,異化作用
「Phản ứng tỏa năng」的中文是什麼?,放能反應,電子載體,異化作用,還原電位
「Phản ứng thu năng」的中文是什麼?,吸能反應,電子載體,自由能變化,異化作用
「Phản ứng tự phát」的中文是什麼?,自發反應,能量耦合,高能磷酸鍵,還原電位
「Sự ghép cặp năng lượng」的中文是什麼?,能量耦合,自發反應,同化作用,生物能量學
「ATP」的中文是什麼?,三磷酸腺苷,氧化還原反應,標準自由能,還原電位
「Liên kết phosphate cao năng」的中文是什麼?,高能磷酸鍵,生物能量學,三磷酸腺苷,氧化還原反應
「Sự thủy phân」的中文是什麼?,水解,還原,電子載體,異化作用
「Sự oxy hóa」的中文是什麼?,氧化,放能反應,自發反應,吸能反應
「Sự khử」的中文是什麼?,還原,異化作用,自由能,放能反應
「Phản ứng oxy hóa khử」的中文是什麼?,氧化還原反應,高能磷酸鍵,標準自由能,自發反應
「Chất mang điện tử」的中文是什麼?,電子載體,還原電位,同化作用,自由能變化
「Thế khử」的中文是什麼?,還原電位,放能反應,自發反應,異化作用
「Dị hóa」的中文是什麼?,異化作用,電子載體,吸能反應,能量耦合
「Đồng hóa」的中文是什麼?,同化作用,吸能反應,電子載體,自由能變化
