Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2,Incorrect Answer 3
「Đường đơn (monosaccharide)」的中文是什麼?,單醣,醛醣,果糖,多醣
「Đường đôi (disaccharide)」的中文是什麼?,雙醣,乳糖,酮醣,蔗糖
「Đường đa (polysaccharide)」的中文是什麼?,多醣,果糖,雙醣,蔗糖
「Glucose」的中文是什麼?,葡萄糖,醣蛋白,肝醣,異構物
「Fructose」的中文是什麼?,果糖,乳糖,酮醣,多醣
「Galactose」的中文是什麼?,半乳糖,醣苷鍵,纖維素,葡萄糖
「Sucrose」的中文是什麼?,蔗糖,澱粉,單醣,醛醣
「Lactose」的中文是什麼?,乳糖,醛醣,肝醣,果糖
「Maltose」的中文是什麼?,麥芽糖,纖維素,醣蛋白,單醣
「Liên kết glycosidic」的中文是什麼?,醣苷鍵,纖維素,還原糖,半乳糖
「Tinh bột」的中文是什麼?,澱粉,果糖,醛醣,酮醣
「Glycogen」的中文是什麼?,肝醣,單醣,乳糖,酮醣
「Cellulose」的中文是什麼?,纖維素,麥芽糖,醣苷鍵,半乳糖
「Aldose」的中文是什麼?,醛醣,澱粉,果糖,肝醣
「Ketose」的中文是什麼?,酮醣,乳糖,果糖,單醣
「Đồng phân」的中文是什麼?,異構物,醣苷鍵,醣蛋白,纖維素
「Glycoprotein」的中文是什麼?,醣蛋白,還原糖,澱粉,異構物
「Đường khử」的中文是什麼?,還原糖,麥芽糖,纖維素,葡萄糖
