Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2,Incorrect Answer 3
「Tích hợp chuyển hóa」的中文是什麼?,代謝整合,飽食狀態,瘦體素,代謝症候群
「Hormone」的中文是什麼?,激素,受體,胰島素,血糖
「Thụ thể」的中文是什麼?,受體,恆定,肝臟,激素
「Sự truyền tín hiệu」的中文是什麼?,訊息傳遞,骨骼肌,飽食狀態,代謝整合
「Chất truyền tin thứ hai」的中文是什麼?,第二傳訊者,腎上腺素,胰島素阻抗,脂肪組織
「Insulin」的中文是什麼?,胰島素,飽食狀態,糖尿病,飢餓狀態
「Glucagon」的中文是什麼?,升糖素,瘦體素,脂肪組織,血糖
「Adrenaline (epinephrine)」的中文是什麼?,腎上腺素,飢餓狀態,脂肪組織,訊息傳遞
「Cortisol」的中文是什麼?,皮質醇,胰島素,瘦體素,恆定
「Leptin」的中文是什麼?,瘦體素,骨骼肌,肝臟,脂肪組織
「Đường huyết」的中文是什麼?,血糖,恆定,受體,皮質醇
「Sự cân bằng nội môi」的中文是什麼?,恆定,受體,皮質醇,骨骼肌
「Trạng thái no」的中文是什麼?,飽食狀態,糖尿病,腎上腺素,骨骼肌
「Trạng thái đói」的中文是什麼?,飢餓狀態,脂肪組織,皮質醇,代謝症候群
「Mô mỡ」的中文是什麼?,脂肪組織,皮質醇,糖尿病,飢餓狀態
「Gan」的中文是什麼?,肝臟,皮質醇,血糖,恆定
「Cơ xương」的中文是什麼?,骨骼肌,訊息傳遞,受體,皮質醇
「Bệnh đái tháo đường」的中文是什麼?,糖尿病,胰島素,肝臟,骨骼肌
「Kháng insulin」的中文是什麼?,胰島素阻抗,皮質醇,脂肪組織,飽食狀態
「Hội chứng chuyển hóa」的中文是什麼?,代謝症候群,第二傳訊者,脂肪組織,代謝整合
