Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2,Incorrect Answer 3
「Động học enzyme」的中文是什麼?,酵素動力學,回饋抑制,不可逆抑制,共價修飾
「Phương trình Michaelis-Menten」的中文是什麼?,米氏方程式,酵素動力學,回饋抑制,競爭性抑制
「Hằng số Michaelis (Km)」的中文是什麼?,米氏常數,雙倒數作圖,米氏方程式,共價修飾
「Tốc độ tối đa (Vmax)」的中文是什麼?,最大速率,酵素動力學,米氏方程式,轉換數
「Tốc độ ban đầu」的中文是什麼?,初速率,米氏常數,轉換數,抑制劑
「Số vòng xúc tác (kcat)」的中文是什麼?,轉換數,米氏常數,初速率,磷酸化
「Chất ức chế」的中文是什麼?,抑制劑,回饋抑制,磷酸化,初速率
「Ức chế cạnh tranh」的中文是什麼?,競爭性抑制,共價修飾,米氏方程式,回饋抑制
「Ức chế không cạnh tranh」的中文是什麼?,非競爭性抑制,米氏常數,最大速率,不可逆抑制
「Ức chế không thuận nghịch」的中文是什麼?,不可逆抑制,雙倒數作圖,競爭性抑制,回饋抑制
「Đồ thị Lineweaver-Burk」的中文是什麼?,雙倒數作圖,回饋抑制,共價修飾,酵素動力學
「Ức chế ngược」的中文是什麼?,回饋抑制,最大速率,轉換數,酵素動力學
「Biến đổi cộng hóa trị」的中文是什麼?,共價修飾,磷酸化,回饋抑制,最大速率
「Sự phosphoryl hóa」的中文是什麼?,磷酸化,最大速率,米氏常數,轉換數
