Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2,Incorrect Answer 3
「β-Oxy hóa」的中文是什麼?,β-氧化,脂解作用,尿素循環,肉鹼穿梭
「Sự phân giải lipid」的中文是什麼?,脂解作用,轉胺作用,肉鹼穿梭,去胺作用
「Thoi carnitine」的中文是什麼?,肉鹼穿梭,麩胺酸,去胺作用,脂解作用
「Acyl-CoA」的中文是什麼?,醯基輔酶A,β-氧化,脂解作用,生糖胺基酸
「Thể ceton」的中文是什麼?,酮體,尿素,銨離子,氨
「Sự tạo ceton」的中文是什麼?,生酮作用,去胺作用,轉胺作用,尿素循環
「Sự chuyển amin」的中文是什麼?,轉胺作用,肉鹼穿梭,去胺作用,尿素循環
「Transaminase」的中文是什麼?,轉胺酶,酮體,脂解作用,麩胺酸
「Sự khử amin」的中文是什麼?,去胺作用,肉鹼穿梭,β-氧化,生糖胺基酸
「Ammonia (NH3)」的中文是什麼?,氨,麩醯胺,尿素,轉胺作用
「Ion ammonium」的中文是什麼?,銨離子,酮體,轉胺作用,去胺作用
「Urea」的中文是什麼?,尿素,銨離子,麩胺酸,酮體
「Chu trình ure」的中文是什麼?,尿素循環,生酮作用,去胺作用,脂解作用
「Glutamate」的中文是什麼?,麩胺酸,麩醯胺,生酮作用,酮體
「Glutamine」的中文是什麼?,麩醯胺,轉胺酶,銨離子,β-氧化
「Amino acid sinh ceton」的中文是什麼?,生酮胺基酸,生酮作用,去胺作用,醯基輔酶A
「Amino acid sinh đường」的中文是什麼?,生糖胺基酸,生酮胺基酸,β-氧化,尿素循環
