Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2,Incorrect Answer 3
「Chu trình acid citric」的中文是什麼?,檸檬酸循環,乙醯輔酶A,去羧作用,回補反應
「Chu trình Krebs」的中文是什麼?,克氏循環,草醯乙酸,異檸檬酸,去羧作用
「Acetyl-CoA」的中文是什麼?,乙醯輔酶A,回補反應,延胡索酸,α-酮戊二酸
「Phức hợp pyruvate dehydrogenase」的中文是什麼?,丙酮酸去氫酶複合體,草醯乙酸,乙醯輔酶A,黃素腺嘌呤二核苷酸
「Sự khử carboxyl」的中文是什麼?,去羧作用,克氏循環,回補反應,草醯乙酸
「Citrate」的中文是什麼?,檸檬酸,蘋果酸,回補反應,琥珀酸
「Isocitrate」的中文是什麼?,異檸檬酸,克氏循環,兩性途徑,回補反應
「α-Ketoglutarate」的中文是什麼?,α-酮戊二酸,乙醯輔酶A,三磷酸鳥苷,草醯乙酸
「Succinate」的中文是什麼?,琥珀酸,檸檬酸,蘋果酸,延胡索酸
「Fumarate」的中文是什麼?,延胡索酸,回補反應,克氏循環,異檸檬酸
「Malate」的中文是什麼?,蘋果酸,回補反應,克氏循環,琥珀酸
「Oxaloacetate」的中文是什麼?,草醯乙酸,克氏循環,延胡索酸,回補反應
「FADH2」的中文是什麼?,黃素腺嘌呤二核苷酸,乙醯輔酶A,延胡索酸,三磷酸鳥苷
「GTP」的中文是什麼?,三磷酸鳥苷,克氏循環,乙醯輔酶A,異檸檬酸
「Phản ứng bổ sung」的中文是什麼?,回補反應,蘋果酸,兩性途徑,延胡索酸
「Con đường lưỡng tính」的中文是什麼?,兩性途徑,異檸檬酸,延胡索酸,克氏循環
