Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2,Incorrect Answer 3
「Đường phân」的中文是什麼?,糖解作用,肝醣分解,投資期,收穫期
「Hexokinase」的中文是什麼?,己糖激酶,丙酮酸激酶,醣質新生,丙酮酸
「Phosphofructokinase-1 (PFK-1)」的中文是什麼?,磷酸果糖激酶,肝醣分解,己糖激酶,醣質新生
「Pyruvate kinase」的中文是什麼?,丙酮酸激酶,己糖激酶,磷酸果糖激酶,肝醣分解
「Pyruvate」的中文是什麼?,丙酮酸,糖解作用,肝醣分解,醣質新生
「Giai đoạn đầu tư」的中文是什麼?,投資期,發酵,收穫期,醣質新生
「Giai đoạn thu hồi」的中文是什麼?,收穫期,丙酮酸,醣質新生,乙醇
「Phosphoryl hóa mức cơ chất」的中文是什麼?,受質層次磷酸化,己糖激酶,糖解作用,磷酸果糖激酶
「Sự lên men」的中文是什麼?,發酵,醣質新生,己糖激酶,乙醇
「Lactate」的中文是什麼?,乳酸,投資期,收穫期,乙醇
「Ethanol」的中文是什麼?,乙醇,乳酸,收穫期,肝醣分解
「Tân tạo glucose」的中文是什麼?,醣質新生,糖解作用,丙酮酸,肝醣分解
「Sự phân giải glycogen」的中文是什麼?,肝醣分解,丙酮酸激酶,糖解作用,收穫期
「Con đường pentose phosphate」的中文是什麼?,戊糖磷酸途徑,受質層次磷酸化,肝醣分解,醣質新生
「NADH」的中文是什麼?,菸鹼醯胺腺嘌呤二核苷酸,醣質新生,己糖激酶,戊糖磷酸途徑
