Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2,Incorrect Answer 3
「Nước」的中文是什麼?,水,鹼,極性,解離
「Liên kết hydrogen」的中文是什麼?,氫鍵,平衡,溶劑,熵
「Liên kết cộng hóa trị」的中文是什麼?,共價鍵,溶質,離子鍵,平衡
「Phân cực」的中文是什麼?,極性,熵,濃度,解離
「Không phân cực」的中文是什麼?,非極性,平衡,共價鍵,氫鍵
「Ưa nước」的中文是什麼?,親水性,滴定曲線,非極性,離子鍵
「Kỵ nước」的中文是什麼?,疏水性,極性,親水性,滴定曲線
「Chất tan」的中文是什麼?,溶質,酸,平衡,溶劑
「Dung môi」的中文是什麼?,溶劑,極性,解離,平衡
「Nồng độ」的中文是什麼?,濃度,熵,共價鍵,氫鍵
「Acid」的中文是什麼?,酸,熵,解離,氫鍵
「Base」的中文是什麼?,鹼,極性,溶劑,濃度
「Sự phân li」的中文是什麼?,解離,溶劑,熵,平衡
「Cân bằng」的中文是什麼?,平衡,解離,溶質,溶劑
「Hằng số cân bằng」的中文是什麼?,平衡常數,滴定曲線,離子鍵,解離
「Dung dịch đệm」的中文是什麼?,緩衝溶液,疏水性,平衡常數,共價鍵
「Đường cong chuẩn độ」的中文是什麼?,滴定曲線,親水性,共價鍵,凡德瓦力
「Lực van der Waals」的中文是什麼?,凡德瓦力,離子鍵,氫鍵,非極性
「Liên kết ion」的中文是什麼?,離子鍵,濃度,解離,疏水性
「Entropy」的中文是什麼?,熵,濃度,水,平衡
