Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2,Incorrect Answer 3
「Phosphoryl hóa oxy hóa」的中文是什麼?,氧化磷酸化,鐵硫中心,質子動力,電子傳遞鏈
「Chuỗi vận chuyển điện tử」的中文是什麼?,電子傳遞鏈,細胞色素c,ATP合成酶,鐵硫中心
「Chuỗi hô hấp」的中文是什麼?,呼吸鏈,基質,複合體,解偶聯劑
「Phức hợp」的中文是什麼?,複合體,呼吸鏈,膜間隙,鐵硫中心
「Ubiquinone (Q)」的中文是什麼?,泛醌,基質,呼吸鏈,質子動力
「Cytochrome c」的中文是什麼?,細胞色素c,化學滲透,氧化磷酸化,電子傳遞鏈
「Trung tâm sắt-lưu huỳnh」的中文是什麼?,鐵硫中心,質子動力,解偶聯劑,化學滲透
「Màng trong」的中文是什麼?,內膜,膜間隙,呼吸鏈,氰化物
「Khoang gian màng」的中文是什麼?,膜間隙,內膜,複合體,氰化物
「Chất nền (matrix)」的中文是什麼?,基質,質子動力,泛醌,膜間隙
「Gradient proton」的中文是什麼?,質子梯度,呼吸鏈,鐵硫中心,複合體
「Lực đẩy proton」的中文是什麼?,質子動力,細胞色素c,化學滲透,解偶聯劑
「Thẩm thấu hóa học」的中文是什麼?,化學滲透,膜間隙,鐵硫中心,氰化物
「ATP synthase」的中文是什麼?,ATP合成酶,解偶聯劑,化學滲透,氧化磷酸化
「Chất tách cặp」的中文是什麼?,解偶聯劑,質子動力,細胞色素c,氧化磷酸化
「Cyanide」的中文是什麼?,氰化物,呼吸鏈,膜間隙,質子動力
「Chất nhận điện tử cuối cùng」的中文是什麼?,最終電子接受者,質子梯度,化學滲透,解偶聯劑
