Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2,Incorrect Answer 3
「Enzyme」的中文是什麼?,酵素,受質,酶原,產物
「Cơ chất」的中文是什麼?,受質,酵素,催化,輔酶
「Sản phẩm」的中文是什麼?,產物,輔酶,酶原,催化
「Trung tâm hoạt động」的中文是什麼?,活性部位,維生素,過渡態,誘導契合
「Sự xúc tác」的中文是什麼?,催化,產物,酵素,受質
「Năng lượng hoạt hóa」的中文是什麼?,活化能,專一性,過渡態,活性部位
「Trạng thái chuyển tiếp」的中文是什麼?,過渡態,輔酶,維生素,輔因子
「Tính đặc hiệu」的中文是什麼?,專一性,過渡態,催化,維生素
「Khớp cảm ứng」的中文是什麼?,誘導契合,過渡態,反應速率,維生素
「Cofactor」的中文是什麼?,輔因子,活化能,誘導契合,過渡態
「Coenzyme」的中文是什麼?,輔酶,受質,輔因子,輔基
「Nhóm ngoại」的中文是什麼?,輔基,輔酶,產物,酵素
「Vitamin」的中文是什麼?,維生素,輔因子,活化能,專一性
「Tiền enzyme (zymogen)」的中文是什麼?,酶原,活化能,輔基,輔酶
「Tốc độ phản ứng」的中文是什麼?,反應速率,活性部位,維生素,活化能
