Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2,Incorrect Answer 3
「Phối tử (ligand)」的中文是什麼?,配位基,結合位置,協同性,血基質
「Vị trí gắn」的中文是什麼?,結合位置,肌動蛋白,異位調節,解離常數
「Myoglobin」的中文是什麼?,肌紅素,協同性,血紅素,異位調節
「Hemoglobin」的中文是什麼?,血紅素,解離常數,結合位置,配位基
「Nhóm heme」的中文是什麼?,血基質,配位基,結合位置,肌紅素
「Đường cong gắn oxygen」的中文是什麼?,氧合曲線,肌動蛋白,結合位置,異位調節
「Tính hợp tác」的中文是什麼?,協同性,配位基,血基質,解離常數
「Điều hòa dị lập thể」的中文是什麼?,異位調節,氧合曲線,肌動蛋白,解離常數
「Hiệu ứng Bohr」的中文是什麼?,波耳效應,異位調節,肌凝蛋白,肌動蛋白
「Hằng số phân li」的中文是什麼?,解離常數,異位調節,肌動蛋白,氧合曲線
「Thiếu máu hồng cầu hình liềm」的中文是什麼?,鐮刀型貧血,結合位置,肌凝蛋白,波耳效應
「Kháng thể」的中文是什麼?,抗體,肌紅素,氧合曲線,血基質
「Kháng nguyên」的中文是什麼?,抗原,肌紅素,協同性,抗體
「Actin」的中文是什麼?,肌動蛋白,肌紅素,結合位置,解離常數
「Myosin」的中文是什麼?,肌凝蛋白,波耳效應,解離常數,肌動蛋白
